id,name,price,features,description
1,Laptop Lenovo Model 1,22796989,"14 inch, Core i5, 8GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
2,Laptop Asus Model 2,20132807,"13.3 inch, Core i3, 8GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
3,Laptop Lenovo Model 3,11042119,"13.3 inch, Core i7, 4GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
4,Laptop MSI Model 4,18733410,"17 inch, Ryzen 5, 4GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
5,Laptop HP Model 5,18898610,"13.3 inch, Ryzen 7, 4GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
6,Laptop Apple Model 6,24210634,"13.3 inch, Core i5, 8GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
7,Laptop MSI Model 7,20994620,"16 inch, Core i7, 16GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
8,Laptop Asus Model 8,15519004,"16 inch, Core i5, 4GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
9,Laptop MSI Model 9,17112963,"17 inch, Ryzen 3, 16GB RAM, 1TB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
10,Laptop Acer Model 10,21672682,"13.3 inch, Apple M2, 4GB RAM, 256GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
11,Laptop MSI Model 11,11356222,"17 inch, Core i5, 32GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
12,Laptop MSI Model 12,25745735,"17 inch, Ryzen 5, 16GB RAM, 256GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
13,Laptop Asus Model 13,17917663,"13.3 inch, Ryzen 3, 32GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
14,Laptop MSI Model 14,18845402,"17 inch, Apple M1, 4GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
15,Laptop HP Model 15,26741820,"15.6 inch, Ryzen 7, 4GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
16,Laptop Acer Model 16,18201708,"17 inch, Core i7, 16GB RAM, 1TB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
17,Laptop HP Model 17,28140645,"16 inch, Ryzen 3, 4GB RAM, 1TB SSD","Giá cả phải chăng, cấu hình hợp lý."
18,Laptop Apple Model 18,12398968,"15.6 inch, Core i3, 32GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
19,Laptop MSI Model 19,28730440,"16 inch, Core i7, 8GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
20,Laptop Asus Model 20,23586572,"16 inch, Core i5, 16GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
21,Laptop MSI Model 21,12644567,"17 inch, Ryzen 7, 8GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
22,Laptop Acer Model 22,16070615,"13.3 inch, Ryzen 5, 4GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
23,Laptop Acer Model 23,19202558,"13.3 inch, Ryzen 5, 16GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
24,Laptop HP Model 24,22071724,"14 inch, Core i3, 4GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
25,Laptop Lenovo Model 25,29631656,"14 inch, Core i5, 32GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
26,Laptop HP Model 26,19058431,"14 inch, Core i7, 32GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
27,Laptop Apple Model 27,13971925,"13.3 inch, Ryzen 5, 32GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
28,Laptop Asus Model 28,11030034,"13.3 inch, Ryzen 7, 4GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
29,Laptop Dell Model 29,14116554,"17 inch, Ryzen 7, 32GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
30,Laptop Asus Model 30,26704016,"14 inch, Ryzen 3, 8GB RAM, 256GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
31,Laptop MSI Model 31,26419803,"16 inch, Ryzen 7, 4GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
32,Laptop Apple Model 32,27227723,"16 inch, Apple M2, 8GB RAM, 1TB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
33,Laptop Asus Model 33,28586995,"13.3 inch, Ryzen 5, 4GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
34,Laptop MSI Model 34,28628682,"14 inch, Ryzen 5, 32GB RAM, 512GB SSD","Giá cả phải chăng, cấu hình hợp lý."
35,Laptop MSI Model 35,18591637,"14 inch, Core i5, 32GB RAM, 512GB SSD","Giá cả phải chăng, cấu hình hợp lý."
36,Laptop Asus Model 36,27164614,"15.6 inch, Core i3, 4GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
37,Laptop Apple Model 37,25457874,"13.3 inch, Apple M1, 8GB RAM, 1TB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
38,Laptop Apple Model 38,17330940,"15.6 inch, Core i5, 4GB RAM, 512GB SSD","Giá cả phải chăng, cấu hình hợp lý."
39,Laptop Lenovo Model 39,22327754,"16 inch, Core i3, 32GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
40,Laptop Lenovo Model 40,11773807,"16 inch, Core i5, 16GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
41,Laptop Acer Model 41,18161070,"16 inch, Core i7, 16GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
42,Laptop Acer Model 42,20772119,"15.6 inch, Core i3, 16GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
43,Laptop Apple Model 43,22245537,"14 inch, Core i5, 8GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
44,Laptop Lenovo Model 44,12262742,"13.3 inch, Core i5, 32GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
45,Laptop Lenovo Model 45,20882971,"15.6 inch, Core i5, 4GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
46,Laptop Acer Model 46,24616945,"13.3 inch, Ryzen 5, 16GB RAM, 256GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
47,Laptop MSI Model 47,22897896,"16 inch, Core i7, 16GB RAM, 1TB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
48,Laptop HP Model 48,26466277,"17 inch, Apple M1, 4GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
49,Laptop Asus Model 49,21617823,"15.6 inch, Ryzen 3, 32GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
50,Laptop MSI Model 50,20571201,"14 inch, Core i3, 32GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
51,Laptop MSI Model 51,15087573,"14 inch, Ryzen 5, 16GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
52,Laptop Dell Model 52,29297017,"15.6 inch, Ryzen 5, 32GB RAM, 512GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
53,Laptop Lenovo Model 53,14215416,"17 inch, Core i3, 4GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
54,Laptop Acer Model 54,22840722,"15.6 inch, Apple M2, 8GB RAM, 1TB SSD","Giá cả phải chăng, cấu hình hợp lý."
55,Laptop Apple Model 55,11924569,"16 inch, Ryzen 3, 32GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
56,Laptop MSI Model 56,27445841,"16 inch, Core i7, 4GB RAM, 1TB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
57,Laptop MSI Model 57,13511539,"17 inch, Apple M1, 8GB RAM, 512GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
58,Laptop MSI Model 58,16160440,"15.6 inch, Apple M2, 32GB RAM, 1TB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
59,Laptop Apple Model 59,11193891,"17 inch, Apple M2, 16GB RAM, 1TB SSD","Giá cả phải chăng, cấu hình hợp lý."
60,Laptop Acer Model 60,18393730,"16 inch, Ryzen 5, 32GB RAM, 256GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
61,Laptop Dell Model 61,11856458,"16 inch, Core i3, 8GB RAM, 1TB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
62,Laptop Dell Model 62,21812756,"13.3 inch, Core i3, 4GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
63,Laptop Dell Model 63,28190701,"15.6 inch, Ryzen 7, 16GB RAM, 1TB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
64,Laptop Dell Model 64,12815238,"16 inch, Core i7, 16GB RAM, 256GB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
65,Laptop Apple Model 65,28524322,"14 inch, Core i7, 32GB RAM, 256GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
66,Laptop Asus Model 66,19010848,"17 inch, Ryzen 7, 16GB RAM, 1TB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
67,Laptop Dell Model 67,29182155,"15.6 inch, Ryzen 5, 32GB RAM, 256GB SSD",Phù hợp cho sinh viên và người dùng phổ thông.
68,Laptop Acer Model 68,11243961,"14 inch, Ryzen 7, 8GB RAM, 512GB SSD","Hiệu suất cao, chơi game và làm việc đồ họa mượt mà."
69,Laptop Dell Model 69,13060194,"16 inch, Ryzen 7, 4GB RAM, 1TB SSD","Laptop hiệu năng ổn định, phù hợp cho công việc văn phòng."
70,Laptop Dell Model 70,13265720,"13.3 inch, Ryzen 7, 8GB RAM, 512GB SSD","Thiết kế mỏng nhẹ, dễ dàng di chuyển."
71,Laptop Lenovo Model 71,16812754,"15.6 inch, Core i5, 32GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
72,Laptop Acer Model 72,26883662,"17 inch, Ryzen 3, 32GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
73,Laptop Apple Model 73,15971714,"16 inch, Ryzen 3, 8GB RAM, 256GB SSD","Giá cả phải chăng, cấu hình hợp lý."
